anchor_slug,neighbor_slug,shared_moves_k,anchor_total_n
celery,romaine-lettuce,2,6
celery,artichoke,1,6
celery,avocado,1,6
celery,broccoli,1,6
celery,brussels-sprouts,1,6
celery,cabbage,1,6
celery,cantaloupe,1,6
celery,cauliflower,1,6
celery,collard-greens,1,6
celery,corn-on-the-cob,1,6
celery,green-beans,1,6
celery,green-leaf-lettuce,1,6
celery,habanero-pepper,1,6
celery,jalapeno,1,6
celery,leek,1,6
celery,lime,1,6
celery,napa-cabbage,1,6
celery,parsley,1,6
celery,pear,1,6
celery,poblano-pepper,1,6
celery,raspberry,1,6
celery,red-onion,1,6
celery,red-potato,1,6
celery,ribeye,1,6
celery,snow-peas,1,6
celery,zucchini,1,6
cheddar-cheese,butter,2,5
cheddar-cheese,asparagus,1,5
cheddar-cheese,beef-tenderloin,1,5
cheddar-cheese,grapefruit,1,5
cheddar-cheese,poblano-pepper,1,5
cheddar-cheese,russet-potato,1,5
cherry-tomato,yellow-squash,4,6
cherry-tomato,green-beans,3,6
cherry-tomato,tomato,3,6
cherry-tomato,bell-pepper,2,6
cherry-tomato,butter-lettuce,2,6
cherry-tomato,cantaloupe,2,6
cherry-tomato,jalapeno,2,6
cherry-tomato,watermelon,2,6
cherry-tomato,beef-tenderloin,1,6
cherry-tomato,blueberry,1,6
cherry-tomato,brussels-sprouts,1,6
cherry-tomato,butter,1,6
cherry-tomato,carrot,1,6
cherry-tomato,chicken-breast,1,6
cherry-tomato,chicken-thigh,1,6
cherry-tomato,corn-on-the-cob,1,6
cherry-tomato,cucumber,1,6
cherry-tomato,dill,1,6
cherry-tomato,garlic,1,6
cherry-tomato,habanero-pepper,1,6
cherry-tomato,kale,1,6
cherry-tomato,napa-cabbage,1,6
cherry-tomato,poblano-pepper,1,6
cherry-tomato,red-onion,1,6
cherry-tomato,short-rib,1,6
cherry-tomato,snow-peas,1,6
cherry-tomato,spinach,1,6
cherry-tomato,vegetable-oil,1,6
cherry-tomato,zucchini,1,6
chicken-breast,chicken-thigh,5,6
chicken-breast,collard-greens,2,6
chicken-breast,dill,2,6
chicken-breast,green-onion,2,6
chicken-breast,carrot,1,6
chicken-breast,cherry-tomato,1,6
chicken-breast,eggs,1,6
chicken-breast,green-beans,1,6
chicken-breast,ground-pork,1,6
chicken-breast,jalapeno,1,6
chicken-breast,poblano-pepper,1,6
chicken-breast,pork-shoulder,1,6
chicken-breast,russet-potato,1,6
chicken-breast,spinach,1,6
chicken-breast,tomato,1,6
chicken-breast,vegetable-oil,1,6
chicken-thigh,chicken-breast,5,5
chicken-thigh,dill,2,5
chicken-thigh,carrot,1,5
chicken-thigh,cherry-tomato,1,5
chicken-thigh,collard-greens,1,5
chicken-thigh,daikon,1,5
chicken-thigh,eggs,1,5
chicken-thigh,green-onion,1,5
chicken-thigh,ground-pork,1,5
chicken-thigh,jalapeno,1,5
chicken-thigh,poblano-pepper,1,5
chicken-thigh,pork-shoulder,1,5
chicken-thigh,russet-potato,1,5
chicken-thigh,tomato,1,5
chicken-thigh,vegetable-oil,1,5
cilantro,bok-choy,1,1
cilantro,dill,1,1
collard-greens,leek,3,6
collard-greens,butternut-squash,2,6
collard-greens,chicken-breast,2,6
collard-greens,eggplant,2,6
collard-greens,kale,2,6
collard-greens,red-onion,2,6
collard-greens,serrano-pepper,2,6
collard-greens,artichoke,1,6
collard-greens,bok-choy,1,6
collard-greens,brussels-sprouts,1,6
collard-greens,butter-lettuce,1,6
collard-greens,cabbage,1,6
collard-greens,celery,1,6
collard-greens,chicken-thigh,1,6
collard-greens,dill,1,6
collard-greens,eggs,1,6
collard-greens,ginger,1,6
collard-greens,green-leaf-lettuce,1,6
collard-greens,green-onion,1,6
collard-greens,ground-pork,1,6
collard-greens,jalapeno,1,6
collard-greens,napa-cabbage,1,6
collard-greens,pear,1,6
collard-greens,pork-shoulder,1,6
collard-greens,striploin,1,6
corn-on-the-cob,jalapeno,2,6
corn-on-the-cob,lime,2,6
corn-on-the-cob,acorn-squash,1,6
corn-on-the-cob,asparagus,1,6
corn-on-the-cob,beet,1,6
corn-on-the-cob,bell-pepper,1,6
corn-on-the-cob,brussels-sprouts,1,6
corn-on-the-cob,cantaloupe,1,6
corn-on-the-cob,cauliflower,1,6
corn-on-the-cob,celery,1,6
corn-on-the-cob,cherry-tomato,1,6
corn-on-the-cob,cucumber,1,6
corn-on-the-cob,eggplant,1,6
corn-on-the-cob,garlic,1,6
corn-on-the-cob,green-beans,1,6
corn-on-the-cob,iceberg-lettuce,1,6
corn-on-the-cob,kale,1,6
corn-on-the-cob,napa-cabbage,1,6
corn-on-the-cob,parsley,1,6
corn-on-the-cob,raspberry,1,6
corn-on-the-cob,red-leaf-lettuce,1,6
corn-on-the-cob,red-onion,1,6
corn-on-the-cob,romaine-lettuce,1,6
corn-on-the-cob,serrano-pepper,1,6
corn-on-the-cob,snow-peas,1,6
corn-on-the-cob,tomato,1,6
corn-on-the-cob,watermelon,1,6
corn-on-the-cob,yellow-squash,1,6
corn-on-the-cob,zucchini,1,6
cucumber,zucchini,3,6
cucumber,beet,2,6
cucumber,butter-lettuce,2,6
cucumber,celery,2,6
cucumber,iceberg-lettuce,2,6
cucumber,red-leaf-lettuce,2,6
cucumber,romaine-lettuce,2,6
cucumber,tomato,2,6
cucumber,artichoke,1,6
cucumber,butternut-squash,1,6
cucumber,cherry-tomato,1,6
cucumber,corn-on-the-cob,1,6
cucumber,eggplant,1,6
cucumber,green-beans,1,6
cucumber,green-leaf-lettuce,1,6
cucumber,green-onion,1,6
cucumber,habanero-pepper,1,6
cucumber,leek,1,6
cucumber,lemon,1,6
cucumber,lime,1,6
cucumber,okra,1,6
cucumber,onion,1,6
cucumber,parsley,1,6
cucumber,red-onion,1,6
cucumber,russet-potato,1,6
cucumber,yellow-squash,1,6
daikon,chicken-thigh,1,1
daikon,eggs,1,1
dill,chicken-breast,2,5
dill,chicken-thigh,2,5
dill,bell-pepper,1,5
dill,bok-choy,1,5
dill,carrot,1,5
dill,cherry-tomato,1,5
dill,cilantro,1,5
dill,collard-greens,1,5
dill,ground-pork,1,5
dill,jalapeno,1,5
dill,lemon,1,5
dill,poblano-pepper,1,5
dill,pork-shoulder,1,5
dill,tomato,1,5
dill,vegetable-oil,1,5
eggplant,red-onion,3,6
eggplant,butternut-squash,2,6
eggplant,celery,2,6
eggplant,collard-greens,2,6
eggplant,kale,2,6
eggplant,leek,2,6
eggplant,acorn-squash,1,6
eggplant,apple,1,6
eggplant,artichoke,1,6
eggplant,avocado,1,6
eggplant,banana,1,6
eggplant,beet,1,6
eggplant,bell-pepper,1,6
eggplant,cabbage,1,6
eggplant,corn-on-the-cob,1,6
eggplant,cucumber,1,6
eggplant,garlic,1,6
eggplant,iceberg-lettuce,1,6
eggplant,jalapeno,1,6
eggplant,lime,1,6
eggplant,parsley,1,6
eggplant,pumpkin,1,6
eggplant,red-leaf-lettuce,1,6
eggplant,romaine-lettuce,1,6
eggplant,serrano-pepper,1,6
eggplant,short-rib,1,6
