slug,name,category,posture,band_pct,edible_yield_pct,trim_tax,cooked_yield,cheapest_month,save_pct,hedge_swap,pressure_dir,pressure_conf,us_import_value_usd,us_export_value_usd,us_production_usd,us_landings_value_usd,us_landings_year,us_landings_wild_minimal,import_mostly_farmed,farm_price,farm_price_unit,import_reliance_pct,import_reliance_year,import_reliance_scope,import_years,import_peak_months,import_peak_quarter_share,import_hs6,import_yoy_pct,import_source_concentration,import_source_hhi,import_top_sources,notable_events_n,median_shock_days,biggest_move_pct,biggest_move_date,comovers
lamb,Lamb,meat,,,,,,,,,,,1490959179,14564662,442899000,,,,,,,54,2010,item,2010-2025,3;4;12,26,020422 (+6 HS10 lines),12.1,concentrated,0.6,Australia:72%;New Zealand:27%;Chile:0%,,,,,
goat,Goat,meat,,,,,,,,,,,157727947,1205040,,,,,,,,,,,2010-2025,4;5;12,27,020450,13.4,single-source,0.96,Australia:98%;Mexico:1%;New Zealand:1%,,,,,
bacon,Bacon (cured),meat,,,,,,,,,,,111478400,159708466,30412004000,,,,,69.9,$ / CWT,2,2025,commodity,2010-2025,8;9;12,27,021012,1.4,single-source,0.97,Canada:98%;Mexico:1%;Italy:1%,,,,,
mozzarella,Fresh mozzarella / fresh cheese,dairy,,,,,,,,,,,117213430,754621225,,,,,,,,,,,2010-2025,6;7;8,28,040610,-18.5,diversified,0.14,Italy:26%;Mexico:23%;Netherlands:9%,,,,,
processed-cheese,Processed cheese (American),dairy,,,,,,,,,,,60439990,144653360,,,,,,,,,,,2010-2025,3;10;11,29,040630,3.8,diversified,0.12,France:22%;Netherlands:15%;Morocco:13%,,,,,
yogurt,Yogurt,dairy,,,,,,,,,,,152585224,105672086,,,,,,,,,,,2022-2025,4;7;12,25,040320,2.1,concentrated,0.41,Canada:50%;France:39%;Mexico:6%,,,,,
shiitake,"Specialty mushrooms (shiitake, oyster)",mushroom,,,,,,,,,,,56684067,4978484,889325000,,,,,1.64,$ / LB,29,2025,commodity,2010-2025,10;11;12,44,070959,-16.5,diversified,0.18,"Italy:25%;Canada:22%;Korea, South:22%",,,,,
cassava,Cassava (yuca),root,,,,,,,,,,,146266323,797647,,,,,,,,,,,2010-2025,10;11;12,30,071410,31,concentrated,0.73,Costa Rica:85%;Ecuador:6%;Colombia:2%,,,,,
yam,Yam,root,,,,,,,,,,,76946140,19114987,,,,,,,,,,,2012-2025,9;10;11,28,071430,-26,diversified,0.24,Jamaica:42%;Ghana:17%;Costa Rica:13%,,,,,
black-pepper,Black pepper,spice,,,,,,,,,,,597681510,27765099,,,,,,,,,,,2010-2025,5;7;10,27,090411+090412,13.8,concentrated,0.56,Vietnam:73%;Indonesia:11%;India:9%,,,,,
paprika,Paprika / chili powder,spice,,,,,,,,,,,514074390,21871721,,,,,,,,,,,2012-2025,10;11;12,27,090421+090422,-13.1,diversified,0.17,Mexico:24%;India:22%;Spain:16%,,,,,
vanilla,Vanilla,spice,,,,,,,,,,,95954924,3813869,,,,,,,,,,,2012-2025,3;4;5,32,090510+090520,-25.9,concentrated,0.52,Madagascar:70%;Uganda:12%;Indonesia:11%,,,,,
cinnamon,Cinnamon,spice,,,,,,,,,,,161749241,7068493,,,,,,,,,,,2010-2025,10;11;12,27,090611+090619+090620,6.4,concentrated,0.3,Indonesia:35%;Vietnam:34%;Sri Lanka:24%,,,,,
cumin,Cumin,spice,,,,,,,,,,,65616124,986588,,,,,,,,,,,2012-2025,7;8;9,28,090931+090932,-17.2,concentrated,0.65,India:80%;Turkey:13%;Vietnam:4%,,,,,
turmeric,Turmeric,spice,,,,,,,,,,,51159641,2441988,,,,,,,,,,,2010-2025,5;7;10,26,091030,-0.7,concentrated,0.53,India:70%;Fiji:17%;Thailand:2%,,,,,
cloves,Cloves,spice,,,,,,,,,,,21314264,287671,,,,,,,,,,,2012-2025,3;4;5,28,090710+090720,-24.8,concentrated,0.27,Indonesia:46%;India:17%;Sri Lanka:13%,,,,,
nutmeg,Nutmeg,spice,,,,,,,,,,,16004521,884221,,,,,,,,,,,2012-2025,5;9;11,26,090811+090812,-10.1,concentrated,0.46,Indonesia:65%;Vietnam:16%;India:11%,,,,,
cardamom,Cardamom,spice,,,,,,,,,,,42544514,376992,,,,,,,,,,,2012-2025,3;4;5,29,090831+090832,54,concentrated,0.44,Guatemala:55%;India:37%;United Kingdom:2%,,,,,
coriander-seed,Coriander seed,spice,,,,,,,,,,,12180702,1827432,,,,,,,,,,,2012-2025,3;7;10,26,090921+090922,-11.9,concentrated,0.31,India:46%;Canada:30%;Egypt:8%,,,,,
saffron,Saffron,spice,,,,,,,,,,,17283863,341729,,,,,,,,,,,2010-2025,7;8;10,27,091020,-2.3,concentrated,0.66,Spain:80%;Afghanistan:11%;India:3%,,,,,
honey,Honey,pantry,,,,,,,,,,,657069427,11146615,,,,,,,,,,,2010-2025,5;6;7,30,040900,6.7,diversified,0.15,India:26%;Argentina:20%;Brazil:15%,,,,,
olives,Olives,pantry,,,,,,,,,,,655593841,9943956,131329000,,,,,918,$ / TON,84,2025,item,2010-2025,6;7;8,26,200570,5.4,diversified,0.24,Greece:35%;Spain:32%;Italy:11%,,,,,
