slug,month,median_cents,p25_cents,p75_cents,n
garlic,12,7310,7200,7675,18
iceberg-lettuce,1,1750,1685,2075,21
iceberg-lettuce,2,1895,1667,2646,20
iceberg-lettuce,3,2000,1823,2241,18
iceberg-lettuce,4,2113,1866,3041,20
iceberg-lettuce,5,2193,1768,3033,22
iceberg-lettuce,6,2415,1663,3736,22
iceberg-lettuce,7,2514,2158,2751,18
iceberg-lettuce,8,2663,2270,3009,18
iceberg-lettuce,9,2055,1794,2625,16
iceberg-lettuce,10,2248,1668,3889,18
iceberg-lettuce,11,4718,2623,6868,18
iceberg-lettuce,12,2292,1750,3586,18
snow-peas,1,2713,2160,3040,21
snow-peas,2,2350,1928,2727,20
snow-peas,3,1858,1458,2211,18
snow-peas,4,2360,2187,2656,20
snow-peas,5,2510,2007,2950,22
snow-peas,6,2911,2716,3715,22
snow-peas,7,3190,2703,3425,18
snow-peas,8,2325,2099,3414,18
snow-peas,9,2008,1841,2678,16
snow-peas,10,2950,2516,3438,18
